Title,Studio,Opening,Theaters,Date,Movie ID,Budget,Runtime,Genres,Directing,Producing,Writing,Rating
Moneyball,Sony,19501302,2993,2011-09-23,60308,50000000,134.0,['Drama'],"['Bennett Miller', 'Sharron Reynolds', 'Scott Robertson', 'Casey Mako', 'Jonas Spaccarotelli', 'Brendon Breese', 'Courtenay Miles']","['Brad Pitt', 'Michael De Luca', 'Rachael Horovitz', 'Mark Bakshi', 'Andrew S. Karsch', 'Sidney Kimmel', 'Scott Rudin', 'Francine Maisler', 'Jason Tamez', 'Alissa Phillips ', 'David Witz', 'Adam Moos', 'Heidi Erl', 'Praveen Kilaru', 'Chris Bustard', 'Elizabeth Chodar', 'Lauren Grey', 'Carolyn Pickman', 'Matt Bouldry', 'S. Todd Christensen', 'Matthew Riutta', 'Tish Johnson', 'Sharon Lopez', 'Ashley Lambert', 'Mike Drury']","['Aaron Sorkin', 'Steven Zaillian', 'Stan Chervin', 'Brian Alexander', 'Michael Lewis']",PG-13
For Colored Girls,LGF,19497324,2127,2010-11-05,44944,0,134.0,['Drama'],['Tyler Perry'],['Paul Hall'],['Tyler Perry'],R
Another 48 HRS.,Par.,19475559,2721,1990-06-08,11595,38000000,95.0,"['Thriller', 'Action', 'Comedy', 'Crime', 'Drama']","['Walter Hill', 'James Dyer']",['Lawrence Gordon'],['Roger Spottiswoode'],R
Argo,WB,19458109,3232,2012-10-12,68734,44500000,120.0,"['Drama', 'Thriller']","['Ben Affleck', 'Sheila Waldron', 'Ian Calip']","['Ben Affleck', 'George Clooney', 'Grant Heslov', 'Lora Kennedy', 'Chris Brigham', 'Chay Carter', 'Tim Headington', 'Graham King', 'David Klawans', 'Nina Wolarsky', 'Katherine Tibbetts', 'Zeynep Santiroglu', 'Chris Baugh', 'Amanda Brand', 'Saygin Saral', 'Peggy Pridemore', 'Amy Herman', 'Şafak Binay']",['Chris Terrio'],R
The Italian Job,Par.,19457944,2633,2003-05-30,9654,60000000,110.0,"['Action', 'Crime']","['F. Gary Gray', 'Alex Corven Caronia', 'Rebecca Robertson', 'Doug Metzger', 'Brian Steward', 'Marco Zanon', 'Timothy R. Price', 'Kenny Bates']","['Tim Bevan', 'Donald De Line', 'James Dyer', 'Eric Fellner', 'Wendy Japhet', 'Guido Cerasuolo', 'Sheila Jaffe', 'Lynsey Jones', 'James Dyer', 'Meg Morman', 'Billy Arrowood', 'Tish Johnson', 'B. Ted Deiker', 'Enrico Ballarin', 'Matthew J. Birch', 'Laura Cappato', 'Barbara Harris', 'Gretel Twombly', 'Stefano Dalla Lana', 'Tiziana Kinkela', 'Sarah Ogletree', 'Chris Baugh', 'Nicola Catullo', 'Matteo Gottardis', 'Paul Giorgi', 'Kyra Kowasic', 'Rino Bonavita', 'Fabrizio Cerato', 'Jennifer Bender', 'Anna Bradley', 'Laura J. Fox', 'Nicola Marzano', 'David Hickey', 'Geneviere Anderson', 'Andrew Gose', 'Claudia Cimmino', 'Kristine Bochum']","['Donna Powers', 'Wayne Powers', 'Troy Kennedy Martin']",PG-13
I Am Number Four,BV,19449893,3154,2011-02-18,46529,50000000,109.0,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",['D.J. Caruso'],"['Michael Bay', 'Emily Berger', 'James M. Freitag', 'Chris Bender', 'Matthew Cohan', 'J.C. Spink', 'David Valdes', 'Deborah Aquila', 'Tricia Wood']","['Alfred Gough', 'Miles Millar', 'Marti Noxon', 'Jobie Hughes', 'James Frey']",PG-13
Alien 3,Fox,19449867,2227,1992-05-22,8077,50000000,114.0,"['Science Fiction', 'Action', 'Horror']","['David Fincher', 'June Randall']","['Gordon Carroll', 'Walter Hill', 'Billy Hopkins', 'Priscilla John', 'David Giler', 'Kevin De La Noy', 'Ezra Swerdlow', 'Sigourney Weaver']","['David Giler', 'Walter Hill', 'Larry Ferguson', ""Dan O'Bannon"", 'Ronald Shusett', 'Vincent Ward']",R
The Huntsman: Winter's War,Uni.,19445035,3791,2016-04-22,290595,115000000,114.0,"['Action', 'Adventure', 'Drama']",['Cedric Nicolas-Troyan'],"['Joe Roth', 'Palak Patel', 'Sarah Bradshaw', 'Lynda Thompson']","['Craig Mazin', 'Evan Spiliotopoulos', 'Evan Daugherty']",PG-13
The Nut Job,ORF,19423000,3427,2014-01-17,227783,42000000,85.0,"['Animation', 'Comedy', 'Family', 'Adventure']",['Peter Lepeniotis'],['Mike Karz'],"['Lorne Cameron', 'Peter Lepeniotis', 'Daniel Woo', 'Joe Giampapa']",PG
Brother Bear,BV,19404492,3030,2003-11-01,10009,100000000,85.0,"['Adventure', 'Animation', 'Family']","['Aaron Blaise', 'Robert Walker']","['Matthew Jon Beck', 'Mary Hidalgo', 'Chuck Williams', 'Bruce Anderson', 'Igor Khait', 'Stephanie Mendoza']","['Tab Murphy', 'Lorne Cameron', 'Steve Bencich', 'Ron J. Friedman', 'Nathan Greno', 'David Hoselton', 'Kevin Deters', 'Thom Enriquez', 'Broose Johnson', 'John Norton', 'Stevie Wermers', 'Woody Woodman', 'Kevin Harkey', 'John Puglisi']",G
The Bucket List,WB,19392416,2911,2008-01-11,7350,45000000,97.0,"['Drama', 'Comedy']","['Rob Reiner', 'Kerry Lyn McKissick', 'Frank Capra III', 'Brian Relyea']","['Craig Zadan', 'Neil Meron', 'Alan Greisman', 'Rob Reiner', 'Justin Zackham', 'Travis Knox', 'Jeffrey Stott', 'Jane Jenkins', 'Mark Scoon', 'Janet Hirshenson', 'Frank Capra III', 'David Siegel', 'Jeffrey Stott', 'Eric Layne', 'Robbie Goldstein', 'Jamie Castro']","['Justin Zackham', 'Mark Moretti']",PG-13
Miracle,BV,19377577,2605,2004-02-06,14292,28000000,135.0,"['Drama', 'History']","[""Gavin O'Connor""]",['Gordon Gray'],['Eric Guggenheim'],PG
The Post,Fox,19361968,2819,2018-01-12,446354,50000000,116.0,"['Drama', 'History']","['Steven Spielberg', 'Jessica Lichtner', 'Adam Somner']","['Steven Spielberg', 'Kristie Macosko Krieger', 'Amy Pascal', ""Rachel O'Connor"", 'Adam Somner', 'Tim White', 'Trevor White', 'Ellen Lewis', 'Stephani DeLuca', 'Rori Bergman', 'Barbara Harris', 'Karlee Fomalont', 'Kate Sprance']","['Liz Hannah', 'Josh Singer']",PG-13
The Santa Clause,BV,19321992,2183,1994-11-11,11395,22000000,97.0,"['Fantasy', 'Drama', 'Comedy', 'Family']",['John Pasquin'],"['Brian Reilly', 'Jeffrey Silver']","['Leo Benvenuti', 'Steve Rudnick']",PG
Conspiracy Theory,WB,19313566,2806,1997-08-08,8834,75000000,135.0,"['Action', 'Drama', 'Mystery', 'Thriller']",['Richard Donner'],"['Richard Donner', 'Joel Silver', 'Jim Van Wyck', 'Marion Dougherty', 'Dan Cracchiolo', 'J. Mills Goodloe', 'Richard Solomon', 'Ilyse A. Reutlinger', 'Julie Durk']",['Brian Helgeland'],R
Aladdin,BV,19289073,1131,1992-11-25,420817,183000000,130.0,"['Adventure', 'Fantasy', 'Romance', 'Comedy', 'Family']","['Guy Ritchie', 'Max Keene']","['Mark Mostyn', 'Jo Wallett', 'Dan Lin', 'Kevin De La Noy', 'Jonathan Eirich', 'Max Keene', 'Mark Mostyn', 'Tess Joseph', 'Lucinda Syson']","['John August', 'Guy Ritchie']",PG
Gothika,WB,19288438,2382,2003-11-21,4970,40000000,98.0,"['Horror', 'Thriller']","['Mathieu Kassovitz', 'Joanne T. Harwood', 'Jim Kaufman', 'Pierre Brassard', 'Nadine Brassard', 'Charles-André Bertrand', 'Angèle Gagnon', 'Spiro Razatos']","['Susan Downey', 'Joel Silver', 'Robert Zemeckis', 'L. Levin', 'Marci Liroff', 'Don Carmody', 'Steve Richards', 'Gary Ungar', 'Melina Kevorkian', 'Adam Kuhn', 'Richard Mirisch', 'Jefferson Richard', 'Micheline Garant', 'Jamie Sparer Roberts', 'Daniel R. Chavez', 'Dominique Leroutier', 'James F. Breithaupt', 'Maral Hassib', 'Liz Amsden', 'Francis Choquette', 'Paula Jensen', 'Shawn Roberts', 'Andrea Kenyon', 'Gabriel Lavina', 'Gilles Montreuil', 'Denis Lemieux', 'Leslie Roycroft', ""Timur 'Taron' Baysal"", 'Karim El Fassi', 'Valérie Lapierre', 'Patrick Galipeau', 'Erik Olsen', ""Marie-Christine D'Amours"", 'Nathalie Lagacé']",['Sebastián Gutiérrez'],
Blue Streak,Sony,19208806,2735,1999-09-17,11001,65000000,93.0,"['Action', 'Comedy', 'Crime']",['Les Mayfield'],"['Toby Jaffe', 'Neal H. Moritz']","['Michael Berry', 'John Blumenthal', 'Stephen Carpenter']",PG-13
Final Destination 3,NL,19173094,2880,2006-02-10,9286,25000000,93.0,"['Horror', 'Mystery']","['James Wong', 'Helga Ungurait', 'Tracy Young', 'Jack Hardy', 'Tarnya Cook', 'Danny Rubio', 'Roger Scott Russell', 'Paul Tennis', 'Glen Morgan', 'Kevin Leeson']","['Craig Perry', 'Warren Zide', 'James Wong', 'John Papsidera', 'Heike Brandstatter', 'Coreen Mayrs', 'Danny McWilliams', 'Sheila Hanahan', 'Art Schaefer', 'Richard Brener', 'Toby Emmerich', 'Matt Moore', ""Wendy O'Brien"", 'Jody Levin', 'Erik Holmberg', 'Scott Parker', 'Lynell Bangs', 'Jennifer Metcalf', 'Michael Kowalski', 'Penny Gibbs', 'Glen Morgan', 'Caitlin McKenna-Wilkinson', 'James McKenzie Moore', 'Rachel Faith Hanson', 'Shane Lennox', 'Annette McCaffrey', 'Stephanie Boeke', 'Sylvia Jang', 'Andrew Bronstein', 'Francois Garcia', 'Zsolt Baranyai', 'W. Robert Millar', 'Dana Perlman', 'Athena Kouverianos', 'Dana Belcastro', 'Keely Johnson']","['James Wong', 'Glen Morgan', 'Jeffrey Reddick']",R
Role Models,Uni.,19167085,2792,2008-11-07,15373,28000000,100.0,['Comedy'],"['David Wain', 'Susan Bierbaum', 'Josh King']","['Andrew Z. Davis', 'Luke Greenfield', 'Dan Kolsrud', 'Mary Parent', 'Matthew Seigel', 'William Sherak', 'Jason Shuman', 'Scott Stuber', 'Lisa Beach', 'Sarah Katzman', 'Charla Bowersox', 'Beth Lipari', 'Lois Walker']","['Paul Rudd', 'David Wain', 'Ken Marino', 'Timothy Dowling', 'Timothy Dowling', 'W. Blake Herron']",R
The Dark Tower,Sony,19153698,3451,2017-08-04,353491,60000000,95.0,"['Action', 'Fantasy', 'Science Fiction', 'Western', 'Horror']","['Nikolaj Arcel', 'Hercules Malan', 'Isabel Martens', 'David H. Venghaus Jr.', 'Morag Cameron', 'Bernard L. Eatmon', 'Susan Malerstein', 'Carien Schutte']","['Ron Howard', 'G. Mac Brown', 'Cheryl Eatock', 'Akiva Goldsman', 'Brian Grazer', 'Trish Hofmann', 'Stephen King', 'Erica Huggins', 'Anders Thomas Jensen', 'Jeff Pinkner', 'David H. Venghaus Jr.', 'Marisol Roncali', 'Mary Vernieu', 'Adam Brightman', 'Marc A. Hammer', 'Carol Heij', 'Trish Hofmann', 'Kelly Todd', 'Matthew Bernstein', 'Steven Carbajal', 'Peter Costelli', 'Deon Du Preez', 'Sarah Sprague']","['Nikolaj Arcel', 'Akiva Goldsman', 'Anders Thomas Jensen', 'Jeff Pinkner', 'Stephen King']",PG-13
Dolphin Tale,WB,19152401,3507,2011-09-23,62837,37000000,113.0,"['Drama', 'Family']",['Charles Martin Smith'],"['Richard Ingber', 'Broderick Johnson', 'Andrew A. Kosove', 'Brad Arensman', 'Carl Rogers', 'Yolanda T. Cochran', 'David Yates', 'Robert Engelman', 'Steven P. Wegner', 'Kerry Barden', 'Paul Schnee']","['Karen Janszen', 'Noam Dromi']",PG
